Model,SoldPrice,Kilometers,Year,Owner,ConditionScore,Brand,Age,OwnerRank,FuelType_Diesel,FuelType_Petrol,Transmission_AUTOMATIC,Transmission_MANUAL,FeaturesVector
wagon r1.0,4520.39,17291,2013,First Owner,9.0,maruti,13,1,0,1,0,1,"[0.49999999999999994, 0.019156272515462563, 0.75, 0.0, 1, 0, 1, 0]"
celerio vxi,4442.39,23897,2015,First Owner,8.6,maruti,11,1,0,1,1,0,"[0.35714285714285715, 0.026882877487812408, 0.6499999999999999, 0.0, 1, 0, 0, 1]"
vitara brezza,10651.19,12581,2018,First Owner,9.8,maruti,8,1,1,0,0,1,"[0.14285714285714285, 0.013647294401661816, 0.9500000000000002, 0.0, 0, 1, 1, 0]"
newsantrosportz,6159.59,7743,2019,First Owner,10.0,hyundai,7,1,0,1,1,0,"[0.07142857142857145, 0.007988603082220621, 1.0, 0.0, 1, 0, 0, 1]"
creta1.6 crdisxplus,10694.39,70349,2017,Second Owner,9.2,hyundai,9,2,1,0,1,0,"[0.21428571428571425, 0.08121473552226516, 0.7999999999999998, 0.5, 0, 1, 0, 1]"
elitei201.4 crdiasta,6322.79,64106,2015,Second Owner,8.4,hyundai,11,2,1,0,0,1,"[0.35714285714285715, 0.07391270784403627, 0.6000000000000001, 0.5, 0, 1, 1, 0]"
swift dzire,5073.01,36839,2013,First Owner,8.6,maruti,13,1,1,0,0,1,"[0.49999999999999994, 0.042020286139364274, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
city vmt,7311.59,48845,2014,First Owner,8.6,honda,12,1,0,1,0,1,"[0.42857142857142855, 0.05606291697467039, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
creta1.6 crdisxplus,14960.39,22608,2017,First Owner,9.6,hyundai,9,1,1,0,1,0,"[0.21428571428571425, 0.025375218721636363, 0.8999999999999999, 0.0, 0, 1, 0, 1]"
duster85 ps,4828.79,73503,2013,Second Owner,7.6,renault,13,2,1,0,0,1,"[0.49999999999999994, 0.08490376247999926, 0.3999999999999999, 0.5, 0, 1, 1, 0]"
magnao,3550.62,64703,2013,First Owner,9.0,hyundaii20,13,1,0,1,0,1,"[0.49999999999999994, 0.07461097959221866, 0.75, 0.0, 1, 0, 1, 0]"
grandi10 sportzat1.2 kappa,6781.19,20935,2018,First Owner,9.6,hyundai,8,1,0,1,1,0,"[0.14285714285714285, 0.023418420338538984, 0.8999999999999999, 0.0, 1, 0, 0, 1]"
swift,5801.99,21714,2017,Second Owner,9.2,maruti,9,2,0,1,0,1,"[0.21428571428571425, 0.02432956555099138, 0.7999999999999998, 0.5, 1, 0, 1, 0]"
wagon r1.0 lxi,3265.19,99966,2012,First Owner,8.6,maruti,14,1,0,1,0,1,"[0.5714285714285714, 0.1158557981117422, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
swift dzire vdibs,5476.79,75547,2013,Second Owner,8.6,maruti,13,2,1,0,0,1,"[0.49999999999999994, 0.08729449523257012, 0.6499999999999999, 0.5, 0, 1, 1, 0]"
vitara brezza,10605.59,24353,2019,First Owner,9.0,maruti,7,1,1,0,0,1,"[0.07142857142857145, 0.027416230782906493, 0.75, 0.0, 0, 1, 1, 0]"
etios liva,3913.19,67401,2013,First Owner,8.8,toyota,13,1,1,0,0,1,"[0.49999999999999994, 0.07776665325485867, 0.7000000000000002, 0.0, 0, 1, 1, 0]"
wagon r1.0 lxi,4194.9,75341,2013,Second Owner,8.6,maruti,13,2,0,1,0,1,"[0.49999999999999994, 0.08705355054224252, 0.6499999999999999, 0.5, 1, 0, 1, 0]"
sportz1.2,3846.84,43617,2012,Second Owner,8.4,hyundaii10,14,2,0,1,0,1,"[0.5714285714285714, 0.049948068231793465, 0.6000000000000001, 0.5, 1, 0, 1, 0]"
swift,5692.79,75644,2015,First Owner,8.4,maruti,11,1,0,1,0,1,"[0.35714285714285715, 0.0874079497712195, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
magnao,3811.19,39086,2011,First Owner,9.0,hyundaii20,15,1,0,1,0,1,"[0.6428571428571428, 0.04464845467900553, 0.75, 0.0, 1, 0, 1, 0]"
brio1.2 smti,3841.19,52290,2015,First Owner,8.6,honda,11,1,0,1,0,1,"[0.35714285714285715, 0.06009230754835268, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
alto800,3137.99,8267,2017,First Owner,9.6,maruti,9,1,0,1,0,1,"[0.21428571428571425, 0.008601491517811193, 0.8999999999999999, 0.0, 1, 0, 1, 0]"
swift dzire vxi1.2 bs,4533.0,86980,2012,First Owner,9.8,maruti,14,1,0,1,0,1,"[0.5714285714285714, 0.10066692554575142, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
zen estilo,2977.19,32137,2011,Second Owner,9.0,maruti,15,2,0,1,0,1,"[0.6428571428571428, 0.036520665100916054, 0.75, 0.5, 1, 0, 1, 0]"
city v,5044.79,51808,2012,Second Owner,8.0,honda,14,2,0,1,1,0,"[0.5714285714285714, 0.05952854375836288, 0.5, 0.5, 1, 0, 0, 1]"
ertiga,4898.39,83719,2012,First Owner,8.6,maruti,14,1,1,0,0,1,"[0.5714285714285714, 0.09685274770517727, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
grandi10 sportz(o)1.2 at,6498.0,20037,2017,First Owner,8.8,hyundai,9,1,0,1,1,0,"[0.21428571428571425, 0.022368088630217737, 0.7000000000000002, 0.0, 1, 0, 0, 1]"
santro xing gl,3074.39,91014,2014,First Owner,8.2,hyundai,12,1,0,1,0,1,"[0.42857142857142855, 0.10538523079226357, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
ritz,3105.59,82092,2010,First Owner,7.8,maruti,16,1,1,0,0,1,"[0.7142857142857142, 0.09494975250535692, 0.44999999999999996, 0.0, 0, 1, 1, 0]"
vitara brezza vdi,7658.39,64429,2017,First Owner,9.6,maruti,9,1,1,0,0,1,"[0.21428571428571425, 0.07429049976139458, 0.8999999999999999, 0.0, 0, 1, 1, 0]"
innova2.5 vx8 strbs,9823.19,67180,2014,First Owner,9.0,toyota,12,1,1,0,0,1,"[0.42857142857142855, 0.07750816404824508, 0.75, 0.0, 0, 1, 1, 0]"
ertiga,5432.39,125259,2012,First Owner,8.4,maruti,14,1,0,1,0,1,"[0.5714285714285714, 0.14543936147317793, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
city vxcvt,8506.79,36119,2015,First Owner,8.6,honda,11,1,0,1,1,0,"[0.35714285714285715, 0.04117814935763677, 0.6499999999999999, 0.0, 1, 0, 0, 1]"
swift,3998.88,33742,2013,First Owner,8.6,maruti,13,1,0,1,0,1,"[0.49999999999999994, 0.03839792834351695, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
sunny xl,2182.79,196982,2012,First Owner,8.4,nissan,14,1,1,0,0,1,"[0.5714285714285714, 0.22932905091184697, 0.6000000000000001, 0.0, 0, 1, 1, 0]"
swift,4283.99,86246,2012,First Owner,8.0,maruti,14,1,0,1,0,1,"[0.5714285714285714, 0.099808413882157, 0.5, 0.0, 1, 0, 1, 0]"
etios liva,3817.19,61443,2012,First Owner,9.0,toyota,14,1,1,0,0,1,"[0.5714285714285714, 0.07079797138606357, 0.75, 0.0, 0, 1, 1, 0]"
zen estilo,943.19,97341,2008,Second Owner,8.6,maruti,18,2,0,1,0,1,"[0.857142857142857, 0.112785507761694, 0.6499999999999999, 0.5, 1, 0, 1, 0]"
