Model,SoldPrice,Kilometers,Year,Owner,ConditionScore,Brand,Age,OwnerRank,FuelType_Diesel,FuelType_Petrol,Transmission_AUTOMATIC,Transmission_MANUAL,FeaturesVector
wagon r1.0 lxi,3745.98,82238,2014,First Owner,8.4,maruti,12,1,0,1,0,1,"[0.42857142857142855, 0.09512051913054057, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
etios liva,3765.59,30558,2013,First Owner,8.8,toyota,13,1,0,1,0,1,"[0.49999999999999994, 0.034673812353210876, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
alto800,3551.99,22164,2018,First Owner,9.6,maruti,8,1,0,1,0,1,"[0.14285714285714285, 0.02485590103957107, 0.8999999999999999, 0.0, 1, 0, 1, 0]"
swift,5222.39,30535,2013,First Owner,8.6,maruti,13,1,1,0,0,1,"[0.49999999999999994, 0.03464691076157236, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
wagon r1.0,3469.19,15738,2013,First Owner,8.6,maruti,13,1,0,1,0,1,"[0.49999999999999994, 0.017339830262653105, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
elitei20 asta1.2,8498.39,32652,2018,First Owner,9.4,hyundai,8,1,0,1,1,0,"[0.14285714285714285, 0.03712302682673503, 0.8500000000000001, 0.0, 1, 0, 0, 1]"
grandi10 sportz1.2 kappa,4929.46,32496,2013,First Owner,8.8,hyundai,13,1,0,1,0,1,"[0.49999999999999994, 0.03694056385736074, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
elitei20 asta,7279.19,27487,2015,First Owner,9.2,hyundai,11,1,0,1,0,1,"[0.35714285714285715, 0.031081865052259267, 0.7999999999999998, 0.0, 1, 0, 1, 0]"
celerio,5510.39,41383,2018,First Owner,8.8,maruti,8,1,0,1,0,1,"[0.14285714285714285, 0.047335104939600074, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
wagon r1.0,3190.79,65476,2012,First Owner,8.6,maruti,14,1,0,1,0,1,"[0.5714285714285714, 0.07551510699815665, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
swift dzire vxi1.2 bs,5123.99,27992,2013,First Owner,8.8,maruti,13,1,0,1,0,1,"[0.49999999999999994, 0.03167253043388758, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
dzire,8057.99,14061,2018,First Owner,9.6,maruti,8,1,0,1,0,1,"[0.14285714285714285, 0.015378353341879461, 0.8999999999999999, 0.0, 1, 0, 1, 0]"
civic1.8 s,1762.44,52138,2007,Third Owner,8.0,honda,19,3,0,1,0,1,"[0.9285714285714284, 0.059914523116654655, 0.5, 1.0, 1, 0, 1, 0]"
alto k10 vxi,3481.19,46410,2014,Second Owner,7.8,maruti,12,2,0,1,1,0,"[0.42857142857142855, 0.05321485716424474, 0.44999999999999996, 0.5, 1, 0, 0, 1]"
alto800 lxi,3424.79,47168,2016,First Owner,8.4,maruti,10,1,0,1,0,1,"[0.28571428571428564, 0.05410144005389675, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
verna fluidic1.6 ex,6356.39,72813,2013,First Owner,8.4,hyundai,13,1,0,1,0,1,"[0.49999999999999994, 0.08409671473084374, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
etios cross1.4,5092.79,79123,2015,First Owner,8.6,toyota,11,1,1,0,0,1,"[0.35714285714285715, 0.09147710791515004, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
city svcvt,7389.59,72097,2016,First Owner,8.8,honda,10,1,0,1,1,0,"[0.28571428571428564, 0.08325925648679249, 0.7000000000000002, 0.0, 1, 0, 0, 1]"
vento highline,4967.99,151201,2014,First Owner,8.6,volkswagen,12,1,1,0,0,1,"[0.42857142857142855, 0.1757820175725875, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
magnao,3938.39,73356,2012,First Owner,8.6,hyundaii20,14,1,0,1,0,1,"[0.5714285714285714, 0.08473182622039656, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
polo gt,11386.79,14516,2018,First Owner,9.8,volkswagen,8,1,0,1,0,1,"[0.14285714285714285, 0.01591053700255448, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
tuv300,7876.79,34658,2016,First Owner,9.0,mahindra,10,1,1,0,0,1,"[0.28571428571428564, 0.039469313471381384, 0.75, 0.0, 0, 1, 1, 0]"
amaze1.5 vcvt,8386.79,53486,2018,First Owner,9.0,honda,8,1,1,0,1,0,"[0.14285714285714285, 0.06149119031355559, 0.75, 0.0, 0, 1, 0, 1]"
nano xt,1207.19,35905,2014,First Owner,8.6,tata,12,1,0,1,0,1,"[0.42857142857142855, 0.040927847591956654, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
kwid,3004.79,39278,2016,Second Owner,8.4,renault,10,2,0,1,0,1,"[0.28571428571428564, 0.0448730244874662, 0.6000000000000001, 0.5, 1, 0, 1, 0]"
alto k10,3719.99,36245,2017,First Owner,9.4,maruti,9,1,0,1,0,1,"[0.21428571428571425, 0.04132552329443909, 0.8500000000000001, 0.0, 1, 0, 1, 0]"
elitei20 sportz,6217.19,61923,2015,First Owner,8.8,hyundai,11,1,0,1,0,1,"[0.35714285714285715, 0.07135939590721524, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
zen estilo,2541.59,39612,2010,Third Owner,8.4,maruti,16,3,0,1,0,1,"[0.7142857142857142, 0.04526368238343423, 0.6000000000000001, 1.0, 1, 0, 1, 0]"
celerio zxi,3991.52,58558,2015,First Owner,8.6,maruti,11,1,0,1,1,0,"[0.35714285714285715, 0.06742357608705823, 0.6499999999999999, 0.0, 1, 0, 0, 1]"
swift dzire vdibs,5726.57,72553,2013,First Owner,8.8,maruti,13,1,1,0,0,1,"[0.49999999999999994, 0.08379260978188657, 0.7000000000000002, 0.0, 0, 1, 1, 0]"
baleno alpha1.2,8038.79,13931,2018,First Owner,9.8,maruti,8,1,0,1,0,1,"[0.14285714285714285, 0.015226300867400884, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
swift vdi,5373.59,48780,2016,Second Owner,9.4,maruti,10,2,1,0,0,1,"[0.28571428571428564, 0.05598689073743111, 0.8500000000000001, 0.5, 0, 1, 1, 0]"
tiago xt1.2,3824.39,86339,2016,First Owner,8.6,tata,10,1,0,1,0,1,"[0.28571428571428564, 0.09991718988313013, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
bolero power+,10090.79,25376,2018,First Owner,9.4,mahindra,8,1,1,0,0,1,"[0.14285714285714285, 0.028612766793610987, 0.8500000000000001, 0.0, 0, 1, 1, 0]"
elitei20 magna1.4,8012.39,15683,2017,First Owner,9.6,hyundai,9,1,0,1,1,0,"[0.21428571428571425, 0.017275500369604475, 0.8999999999999999, 0.0, 1, 0, 0, 1]"
sx4,2529.59,117838,2011,First Owner,8.2,maruti,15,1,1,0,0,1,"[0.6428571428571428, 0.1367595044492893, 0.5499999999999998, 0.0, 0, 1, 1, 0]"
baleno delta1.2 k12,6887.99,28083,2017,First Owner,9.6,maruti,9,1,0,1,1,0,"[0.21428571428571425, 0.03177896716602258, 0.8999999999999999, 0.0, 1, 0, 0, 1]"
swift vxi,3781.19,45714,2010,Second Owner,8.2,maruti,16,2,0,1,0,1,"[0.7142857142857142, 0.05240079160857482, 0.5499999999999998, 0.5, 1, 0, 1, 0]"
city vmt,3832.79,50615,2011,First Owner,8.8,honda,15,1,0,1,0,1,"[0.6428571428571428, 0.058133169896417175, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
xuv500 w8,5300.39,59608,2012,First Owner,8.2,mahindra,14,1,1,0,0,1,"[0.5714285714285714, 0.06865169222707751, 0.5499999999999998, 0.0, 0, 1, 1, 0]"
venue1.4 crdimt,11900.39,2823,2019,First Owner,9.8,hyundai,7,1,1,0,1,0,"[0.07142857142857145, 0.0022340017404160156, 0.9500000000000002, 0.0, 0, 1, 0, 1]"
swift,3128.39,141644,2012,First Owner,8.4,maruti,14,1,0,1,0,1,"[0.5714285714285714, 0.16460382142957394, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
etios liva,3742.79,105493,2013,Second Owner,8.8,toyota,13,2,1,0,0,1,"[0.49999999999999994, 0.12232036754591985, 0.7000000000000002, 0.5, 0, 1, 1, 0]"
magnao1.4,4357.19,83767,2012,First Owner,8.4,hyundaii20,14,1,1,0,0,1,"[0.5714285714285714, 0.09690889015729244, 0.6000000000000001, 0.0, 0, 1, 1, 0]"
alto k10 vxi,4509.59,11362,2015,First Owner,9.6,maruti,11,1,0,1,1,0,"[0.35714285714285715, 0.01222151004482039, 0.8999999999999999, 0.0, 1, 0, 0, 1]"
swift,4096.79,61365,2012,Second Owner,9.6,maruti,14,2,1,0,0,1,"[0.5714285714285714, 0.07070673990137642, 0.8999999999999999, 0.5, 0, 1, 1, 0]"
ecosport1.5 titaniumti,5839.19,87581,2014,First Owner,8.6,ford,12,1,0,1,0,1,"[0.42857142857142855, 0.10136987583161007, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
swift,3508.79,96637,2012,Second Owner,8.4,maruti,14,2,1,0,0,1,"[0.5714285714285714, 0.11196208513067156, 0.6000000000000001, 0.5, 0, 1, 1, 0]"
sportz1.2,2727.59,76177,2012,First Owner,9.8,hyundaii10,14,1,0,1,0,1,"[0.5714285714285714, 0.08803136491658167, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
brio1.2 vmti,4232.39,33953,2013,Second Owner,8.4,honda,13,2,0,1,0,1,"[0.49999999999999994, 0.03864472120593987, 0.6000000000000001, 0.5, 1, 0, 1, 0]"
ertiga zxismarthybrid,10089.59,17435,2019,First Owner,9.8,maruti,7,1,0,1,1,0,"[0.07142857142857145, 0.019324699871808064, 0.9500000000000002, 0.0, 1, 0, 0, 1]"
city vxmt,5606.39,89834,2014,First Owner,8.4,honda,12,1,1,0,0,1,"[0.42857142857142855, 0.10400506217776571, 0.6000000000000001, 0.0, 0, 1, 1, 0]"
city vxmt,7273.19,83278,2014,First Owner,9.2,honda,12,1,1,0,0,1,"[0.42857142857142855, 0.09633693892636917, 0.7999999999999998, 0.0, 0, 1, 1, 0]"
alto800,2171.95,49275,2013,First Owner,8.4,maruti,13,1,0,1,0,1,"[0.49999999999999994, 0.05656585977486876, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
alto k10 vxi,3884.39,19138,2016,First Owner,9.0,maruti,10,1,0,1,1,0,"[0.28571428571428564, 0.021316587287477425, 0.75, 0.0, 1, 0, 0, 1]"
brio1.2 vmti,2630.02,62852,2012,Second Owner,8.2,honda,14,2,0,1,0,1,"[0.5714285714285714, 0.07244598628252753, 0.5499999999999998, 0.5, 1, 0, 1, 0]"
scorpio s6,12550.79,47310,2016,First Owner,8.8,mahindra,10,1,1,0,0,1,"[0.28571428571428564, 0.05426752814140412, 0.7000000000000002, 0.0, 0, 1, 1, 0]"
venue1.0 lturbo gdisx(o),11726.39,8701,2019,First Owner,9.6,hyundai,7,1,0,1,1,0,"[0.07142857142857145, 0.009109112855685827, 0.8999999999999999, 0.0, 1, 0, 0, 1]"
alto800,3992.39,8393,2019,First Owner,9.6,maruti,7,1,0,1,0,1,"[0.07142857142857145, 0.008748865454613506, 0.8999999999999999, 0.0, 1, 0, 1, 0]"
accord2.4 ati,3392.39,188777,2010,First Owner,8.4,honda,16,1,0,1,1,0,"[0.7142857142857142, 0.21973220050341064, 0.6000000000000001, 0.0, 1, 0, 0, 1]"
corolla altis,8054.39,52544,2014,Second Owner,8.6,toyota,12,2,0,1,0,1,"[0.42857142857142855, 0.06038939469079544, 0.6499999999999999, 0.5, 1, 0, 1, 0]"
polo highline1.2 l,4895.99,33913,2014,First Owner,8.4,volkswagen,12,1,0,1,0,1,"[0.42857142857142855, 0.03859793582917723, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
ritz,2881.19,44432,2013,Second Owner,8.8,maruti,13,2,1,0,0,1,"[0.49999999999999994, 0.05090132028333224, 0.7000000000000002, 0.5, 0, 1, 1, 0]"
alto k10,1715.99,59096,2010,First Owner,8.6,maruti,16,1,0,1,0,1,"[0.7142857142857142, 0.06805283940451573, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
verna fluidic1.6 sxvtvt,5072.39,82265,2011,First Owner,8.4,hyundai,15,1,0,1,0,1,"[0.6428571428571428, 0.09515209925985534, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
grandi10 sports1.2,5024.39,39422,2013,First Owner,8.8,hyundai,13,1,0,1,0,1,"[0.49999999999999994, 0.0450414518438117, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
wagon r1.0,4151.99,60412,2012,First Owner,8.4,maruti,14,1,0,1,0,1,"[0.5714285714285714, 0.06959207830000655, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
city smt,3766.8,83050,2011,First Owner,9.0,honda,15,1,0,1,0,1,"[0.6428571428571428, 0.09607026227882214, 0.75, 0.0, 1, 0, 1, 0]"
santro xing gl,2349.6,111397,2013,First Owner,8.6,hyundai,13,1,0,1,0,1,"[0.49999999999999994, 0.12922588915608535, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
vento highline,3612.89,71219,2012,First Owner,8.6,volkswagen,14,1,1,0,0,1,"[0.5714285714285714, 0.08223231746685256, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
alto k10,3172.76,30539,2015,First Owner,9.0,maruti,11,1,0,1,0,1,"[0.35714285714285715, 0.03465158929924862, 0.75, 0.0, 1, 0, 1, 0]"
swift zdi,8684.39,35067,2018,First Owner,9.6,maruti,8,1,1,0,0,1,"[0.14285714285714285, 0.03994769394877937, 0.8999999999999999, 0.0, 0, 1, 1, 0]"
alto k10,3329.99,64058,2012,First Owner,8.4,maruti,14,1,0,1,0,1,"[0.5714285714285714, 0.0738565653919211, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
ertiga,4628.39,54397,2012,First Owner,8.8,maruti,14,1,1,0,0,1,"[0.5714285714285714, 0.06255672726932471, 0.7000000000000002, 0.0, 0, 1, 1, 0]"
celerio vxi,4173.59,95945,2015,First Owner,9.0,maruti,11,1,0,1,0,1,"[0.35714285714285715, 0.1111526981126779, 0.75, 0.0, 1, 0, 1, 0]"
alto k10 vxi(o),4421.77,2610,2018,Second Owner,9.8,maruti,8,2,0,1,1,0,"[0.14285714285714285, 0.0019848696091549624, 0.9500000000000002, 0.5, 1, 0, 0, 1]"
swift,3791.99,164127,2012,First Owner,9.0,maruti,14,1,1,0,0,1,"[0.5714285714285714, 0.19090071207343431, 0.75, 0.0, 0, 1, 1, 0]"
magna,1921.19,68478,2008,First Owner,8.8,hyundaii10,18,1,0,1,0,1,"[0.857142857142857, 0.07902634952419273, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
elitei201.2 magnaplus,8325.59,15086,2019,First Owner,9.6,hyundai,7,1,0,1,1,0,"[0.07142857142857145, 0.016577228621422087, 0.8999999999999999, 0.0, 1, 0, 0, 1]"
eon magna,3158.39,41513,2013,First Owner,8.2,hyundai,13,1,0,1,0,1,"[0.49999999999999994, 0.047487157414078655, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
alto k10,3250.79,70973,2011,First Owner,8.6,maruti,15,1,0,1,0,1,"[0.6428571428571428, 0.08194458739976233, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
alto k10,4064.39,27570,2018,First Owner,9.6,maruti,8,1,0,1,0,1,"[0.14285714285714285, 0.031178944709041742, 0.8999999999999999, 0.0, 1, 0, 1, 0]"
city v,5051.99,42481,2012,Second Owner,8.0,honda,14,2,0,1,1,0,"[0.5714285714285714, 0.048619363531734516, 0.5, 0.5, 1, 0, 0, 1]"
city smt,4924.79,73247,2012,Third Owner,9.0,honda,14,3,0,1,0,1,"[0.5714285714285714, 0.08460433606871837, 0.75, 1.0, 1, 0, 1, 0]"
alto,4411.19,3710,2020,First Owner,9.8,maruti,6,1,0,1,0,1,"[0.0, 0.0032714674701275373, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
vento highline,3061.19,84630,2011,First Owner,8.2,volkswagen,15,1,0,1,0,1,"[0.6428571428571428, 0.09791828466094638, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
baleno delta1.2,8183.99,15615,2018,First Owner,9.8,maruti,8,1,0,1,0,1,"[0.14285714285714285, 0.017195965229107987, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
swift dzire vxi1.2 bs,3765.29,15248,2011,First Owner,9.2,maruti,15,1,0,1,0,1,"[0.6428571428571428, 0.016766709397310776, 0.7999999999999998, 0.0, 1, 0, 1, 0]"
alto k10,1877.99,45362,2012,Second Owner,8.4,maruti,14,2,0,1,0,1,"[0.5714285714285714, 0.051989080293063594, 0.6000000000000001, 0.5, 1, 0, 1, 0]"
verna fluidic1.6 sxcrdi,6257.99,41856,2013,First Owner,8.8,hyundai,13,1,1,0,0,1,"[0.49999999999999994, 0.04788834201981828, 0.7000000000000002, 0.0, 0, 1, 1, 0]"
scorpio s6,11725.19,43867,2016,First Owner,9.4,mahindra,10,1,1,0,0,1,"[0.28571428571428564, 0.05024047683655996, 0.8500000000000001, 0.0, 0, 1, 1, 0]"
magna1.2,2180.39,68656,2009,Third Owner,8.0,hyundaii20,17,3,0,1,0,1,"[0.7857142857142856, 0.07923454445078647, 0.5, 1.0, 1, 0, 1, 0]"
swift dzire lxi1.2 bs,5475.59,173110,2013,First Owner,8.4,maruti,13,1,0,1,0,1,"[0.49999999999999994, 0.20140753805990397, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
etios,2825.99,114409,2011,First Owner,8.4,toyota,15,1,1,0,0,1,"[0.6428571428571428, 0.13274882802631208, 0.6000000000000001, 0.0, 0, 1, 1, 0]"
micra xvpremium,4182.48,72949,2012,First Owner,8.0,nissan,14,1,1,0,0,1,"[0.5714285714285714, 0.0842557850118367, 0.5, 0.0, 0, 1, 1, 0]"
zen estilo,2667.02,43196,2010,Second Owner,8.0,maruti,16,2,0,1,0,1,"[0.7142857142857142, 0.04945565214136669, 0.5, 0.5, 1, 0, 1, 0]"
alto k10,3662.39,50294,2014,First Owner,8.8,maruti,12,1,0,1,0,1,"[0.42857142857142855, 0.057757717247896995, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
grandi10 sportz(o)1.2 at,5911.19,85389,2017,First Owner,9.0,hyundai,9,1,0,1,1,0,"[0.21428571428571425, 0.09880603718501745, 0.75, 0.0, 1, 0, 0, 1]"
alto,2835.6,102742,2009,First Owner,8.0,maruti,17,1,0,1,0,1,"[0.7857142857142856, 0.11910270325906934, 0.5, 0.0, 1, 0, 1, 0]"
polo highline1.2 l,3400.79,114877,2014,First Owner,8.8,volkswagen,12,1,1,0,0,1,"[0.42857142857142855, 0.13329621693443497, 0.7000000000000002, 0.0, 0, 1, 1, 0]"
wagon r1.0 lxicng,5089.19,20570,2017,Second Owner,9.0,maruti,9,2,0,1,0,1,"[0.21428571428571425, 0.022991503775579902, 0.75, 0.5, 1, 0, 1, 0]"
vitara brezza,9356.39,37265,2019,First Owner,9.6,maruti,7,1,1,0,0,1,"[0.07142857142857145, 0.04251855040188638, 0.8999999999999999, 0.0, 0, 1, 1, 0]"
vitara brezza,9075.59,39833,2019,First Owner,8.6,maruti,7,1,1,0,0,1,"[0.07142857142857145, 0.04552217159004781, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
amaze1.2 smti,4145.99,58944,2013,Second Owner,8.6,honda,13,2,0,1,0,1,"[0.49999999999999994, 0.06787505497281769, 0.6499999999999999, 0.5, 1, 0, 1, 0]"
verna fluidic1.6 sx,4257.59,119265,2013,First Owner,8.4,hyundai,13,1,0,1,0,1,"[0.49999999999999994, 0.13842857276529646, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
grandi10 astaat1.2 kappa,5321.99,90217,2016,First Owner,8.0,hyundai,10,1,0,1,0,1,"[0.28571428571428564, 0.10445303216026798, 0.5, 0.0, 1, 0, 1, 0]"
innova2.5 gx8 strbs,9449.99,147140,2013,First Owner,8.6,toyota,13,1,1,0,0,1,"[0.49999999999999994, 0.17103213219676056, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
elitei20 asta,7143.59,35045,2017,First Owner,9.2,hyundai,9,1,0,1,0,1,"[0.21428571428571425, 0.039921961991559916, 0.7999999999999998, 0.0, 1, 0, 1, 0]"
amaze1.2 smti,4767.59,38790,2014,First Owner,9.0,honda,12,1,0,1,0,1,"[0.42857142857142855, 0.044302242890962, 0.75, 0.0, 1, 0, 1, 0]"
alto800,3712.79,8105,2018,First Owner,9.8,maruti,8,1,0,1,0,1,"[0.14285714285714285, 0.008412010741922505, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
magnao1.4,4881.46,78618,2013,First Owner,8.0,hyundaii20,13,1,1,0,0,1,"[0.49999999999999994, 0.09088644253352172, 0.5, 0.0, 0, 1, 1, 0]"
santro xing,1401.19,63586,2008,First Owner,8.6,hyundai,18,1,0,1,0,1,"[0.857142857142857, 0.07330449794612197, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
swift,4881.59,34459,2013,First Owner,8.6,maruti,13,1,0,1,0,1,"[0.49999999999999994, 0.039236556221987254, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
baleno delta1.2,6621.59,40382,2017,Second Owner,9.2,maruti,9,2,0,1,0,1,"[0.21428571428571425, 0.046164300886115034, 0.7999999999999998, 0.5, 1, 0, 1, 0]"
redi go,2212.6,31153,2016,Second Owner,8.8,datsun,10,2,0,1,0,1,"[0.28571428571428564, 0.03536974483255513, 0.7000000000000002, 0.5, 1, 0, 1, 0]"
brio1.2 smti,3677.99,43469,2012,First Owner,8.4,honda,14,1,0,1,0,1,"[0.5714285714285714, 0.049774962337771705, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
city vmt,2728.79,148906,2009,Second Owner,7.2,honda,17,2,0,1,0,1,"[0.7857142857142856, 0.17309770658083107, 0.30000000000000004, 0.5, 1, 0, 1, 0]"
city1.5 v,10921.19,12538,2019,First Owner,9.6,honda,7,1,0,1,0,1,"[0.07142857142857145, 0.01359700012164198, 0.8999999999999999, 0.0, 1, 0, 1, 0]"
swift,5143.19,53390,2013,First Owner,9.4,maruti,13,1,0,1,0,1,"[0.49999999999999994, 0.06137890540932526, 0.8500000000000001, 0.0, 1, 0, 1, 0]"
grandi10 sportz1.2 kappa,4928.88,65299,2014,Second Owner,8.8,hyundai,12,2,0,1,0,1,"[0.42857142857142855, 0.07530808170598198, 0.7000000000000002, 0.5, 1, 0, 1, 0]"
alto800,2710.79,39630,2016,First Owner,8.6,maruti,10,1,0,1,0,1,"[0.28571428571428564, 0.04528473580297742, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
swift dzire vxi1.2 bs,4022.39,70252,2011,First Owner,8.4,maruti,15,1,0,1,0,1,"[0.6428571428571428, 0.08110128098361576, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
magnao,2662.79,55760,2011,First Owner,8.2,hyundaii20,15,1,0,1,0,1,"[0.6428571428571428, 0.06415093898251163, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
lodgy110 psrxz8,6045.59,34812,2015,First Owner,8.6,renault,11,1,1,0,0,1,"[0.35714285714285715, 0.039649437171917545, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
alto,945.59,57895,2007,Second Owner,8.4,maruti,19,2,0,1,0,1,"[0.9285714285714284, 0.06664810846721748, 0.6000000000000001, 0.5, 1, 0, 1, 0]"
magnao,2540.39,84826,2010,First Owner,8.6,hyundaii20,16,1,0,1,0,1,"[0.7142857142857142, 0.0981475330070833, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
swift,6751.19,31999,2012,First Owner,9.4,maruti,14,1,0,1,0,1,"[0.5714285714285714, 0.03635925555108495, 0.8500000000000001, 0.0, 1, 0, 1, 0]"
grandi10 sportz1.2 kappa,5420.39,13349,2016,First Owner,8.8,hyundai,10,1,0,1,0,1,"[0.28571428571428564, 0.014545573635504487, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
cruze ltz,3902.39,98989,2011,First Owner,9.6,chevrolet,15,1,1,0,1,0,"[0.6428571428571428, 0.11471306528431474, 0.8999999999999999, 0.0, 0, 1, 0, 1]"
kwid,3861.59,5160,2018,First Owner,9.8,renault,8,1,0,1,0,1,"[0.14285714285714285, 0.004967437377773203, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
vitara brezza zdi,11413.19,28572,2018,First Owner,9.8,maruti,8,1,1,0,0,1,"[0.14285714285714285, 0.03235091839694585, 0.9500000000000002, 0.0, 0, 1, 1, 0]"
xcent s,4033.19,75891,2014,First Owner,8.6,hyundai,12,1,0,1,0,1,"[0.42857142857142855, 0.08769684947272881, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
city v,4697.99,113241,2012,First Owner,8.2,honda,14,1,0,1,1,0,"[0.5714285714285714, 0.131382695024843, 0.5499999999999998, 0.0, 1, 0, 0, 1]"
wagon r1.0,4126.79,17101,2018,First Owner,9.4,maruti,8,1,0,1,0,1,"[0.14285714285714285, 0.01893404197584003, 0.8500000000000001, 0.0, 1, 0, 1, 0]"
verna fluidic1.6 sx,3875.99,84048,2012,First Owner,8.8,hyundai,14,1,1,0,0,1,"[0.5714285714285714, 0.09723755742904998, 0.7000000000000002, 0.0, 0, 1, 1, 0]"
ecosport1.5 titanium,5271.59,152554,2014,First Owner,8.8,ford,12,1,1,0,0,1,"[0.42857142857142855, 0.17736453294158377, 0.7000000000000002, 0.0, 0, 1, 1, 0]"
etios liva gd,4723.92,97467,2013,First Owner,9.2,toyota,13,1,1,0,0,1,"[0.49999999999999994, 0.11293288169849632, 0.7999999999999998, 0.0, 0, 1, 1, 0]"
new wagon-rlxi1.0,5740.79,13185,2019,First Owner,9.4,maruti,7,1,0,1,1,0,"[0.07142857142857145, 0.014353753590777667, 0.8500000000000001, 0.0, 1, 0, 0, 1]"
ritz vxibs,2363.99,114109,2010,First Owner,8.8,maruti,16,1,0,1,0,1,"[0.7142857142857142, 0.1323979377005923, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
swift vdi,6796.79,70952,2015,First Owner,9.4,maruti,11,1,1,0,0,1,"[0.35714285714285715, 0.08192002507696194, 0.8500000000000001, 0.0, 0, 1, 1, 0]"
swift dzire vdibs,4027.19,80394,2013,First Owner,7.8,maruti,13,1,1,0,0,1,"[0.49999999999999994, 0.0929637132617829, 0.44999999999999996, 0.0, 0, 1, 1, 0]"
ritz vxi,2498.39,56276,2009,Second Owner,8.6,maruti,17,2,0,1,0,1,"[0.7857142857142856, 0.06475447034274967, 0.6499999999999999, 0.5, 1, 0, 1, 0]"
elitei20 magna1.4,7060.79,110531,2015,First Owner,9.8,hyundai,11,1,1,0,0,1,"[0.35714285714285715, 0.12821298574917422, 0.9500000000000002, 0.0, 0, 1, 1, 0]"
grandi10 era1.2,4149.59,23794,2014,Second Owner,9.2,hyundai,12,2,0,1,0,1,"[0.42857142857142855, 0.02676240514264861, 0.7999999999999998, 0.5, 1, 0, 1, 0]"
wagon r1.0 lxi,2909.99,88514,2015,Second Owner,8.8,maruti,11,2,0,1,0,1,"[0.35714285714285715, 0.10246114474459862, 0.7000000000000002, 0.5, 1, 0, 1, 0]"
city smt,2907.59,76901,2009,First Owner,8.2,honda,17,1,0,1,0,1,"[0.7857142857142856, 0.08887818023598544, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
swift vxi,2900.39,103401,2008,Third Owner,8.0,maruti,18,3,0,1,0,1,"[0.857142857142857, 0.11987349234123382, 0.5, 1.0, 1, 0, 1, 0]"
santro xing gl,3457.19,55945,2011,First Owner,8.4,hyundai,15,1,0,1,0,1,"[0.6428571428571428, 0.06436732135003884, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
